"code","vocabulary_id","phecode"
"281","ICD9CM","BI_160"
"281.8","ICD9CM","BI_160"
"281.9","ICD9CM","BI_160"
"D53","ICD10CM","BI_160"
"D53.2","ICD10CM","BI_160"
"D53.8","ICD10CM","BI_160"
"D53.9","ICD10CM","BI_160"
"280","ICD9CM","BI_160.1"
"280.1","ICD9CM","BI_160.1"
"280.8","ICD9CM","BI_160.1"
"280.9","ICD9CM","BI_160.1"
"D50","ICD10CM","BI_160.1"
"D50.1","ICD10CM","BI_160.1"
"D50.8","ICD10CM","BI_160.1"
"D50.9","ICD10CM","BI_160.1"
"280.0","ICD9CM","BI_160.11"
"D50.0","ICD10CM","BI_160.11"
"281.3","ICD9CM","BI_160.2"
"D51","ICD10CM","BI_160.2"
"D51.1","ICD10CM","BI_160.2"
"D51.2","ICD10CM","BI_160.2"
"D51.3","ICD10CM","BI_160.2"
"D51.8","ICD10CM","BI_160.2"
"D51.9","ICD10CM","BI_160.2"
"D53.1","ICD10CM","BI_160.2"
"281.0","ICD9CM","BI_160.21"
"281.1","ICD9CM","BI_160.21"
"D51.0","ICD10CM","BI_160.21"
"281.2","ICD9CM","BI_160.22"
"D52","ICD10CM","BI_160.22"
"D52.0","ICD10CM","BI_160.22"
"D52.1","ICD10CM","BI_160.22"
"D52.8","ICD10CM","BI_160.22"
"D52.9","ICD10CM","BI_160.22"
"281.4","ICD9CM","BI_160.3"
"D53.0","ICD10CM","BI_160.3"
"283","ICD9CM","BI_161.2"
"283.1","ICD9CM","BI_161.2"
"283.10","ICD9CM","BI_161.2"
"283.19","ICD9CM","BI_161.2"
"283.2","ICD9CM","BI_161.2"
"283.9","ICD9CM","BI_161.2"
"D59","ICD10CM","BI_161.2"
"D59.4","ICD10CM","BI_161.2"
"D59.6","ICD10CM","BI_161.2"
"D59.8","ICD10CM","BI_161.2"
"D59.9","ICD10CM","BI_161.2"
"283.0","ICD9CM","BI_161.21"
"D59.0","ICD10CM","BI_161.21"
"D59.1","ICD10CM","BI_161.21"
"D59.10","ICD10CM","BI_161.21"
"D59.11","ICD10CM","BI_161.21"
"D59.12","ICD10CM","BI_161.21"
"D59.13","ICD10CM","BI_161.21"
"D59.19","ICD10CM","BI_161.21"
"283.11","ICD9CM","BI_161.22"
"D59.3","ICD10CM","BI_161.22"
"D59.30","ICD10CM","BI_161.22"
"D59.31","ICD10CM","BI_161.22"
"D59.39","ICD10CM","BI_161.22"
"D59.2","ICD10CM","BI_161.23"
"284","ICD9CM","BI_162"
"284.8","ICD9CM","BI_162"
"284.89","ICD9CM","BI_162"
"284.9","ICD9CM","BI_162"
"D61","ICD10CM","BI_162"
"D61.8","ICD10CM","BI_162"
"D61.89","ICD10CM","BI_162"
"D61.9","ICD10CM","BI_162"
"284.0","ICD9CM","BI_162.1"
"284.01","ICD9CM","BI_162.1"
"284.09","ICD9CM","BI_162.1"
"D61.0","ICD10CM","BI_162.1"
"D61.01","ICD10CM","BI_162.1"
"D61.09","ICD10CM","BI_162.1"
"284.81","ICD9CM","BI_162.2"
"D60","ICD10CM","BI_162.2"
"D60.0","ICD10CM","BI_162.2"
"D60.1","ICD10CM","BI_162.2"
"D60.8","ICD10CM","BI_162.2"
"D60.9","ICD10CM","BI_162.2"
"D61.1","ICD10CM","BI_162.3"
"D61.2","ICD10CM","BI_162.3"
"D61.3","ICD10CM","BI_162.4"
"284.1","ICD9CM","BI_162.8"
"284.19","ICD9CM","BI_162.8"
"D61.81","ICD10CM","BI_162.8"
"D61.818","ICD10CM","BI_162.8"
"284.11","ICD9CM","BI_162.81"
"284.12","ICD9CM","BI_162.81"
"D61.810","ICD10CM","BI_162.81"
"D61.811","ICD10CM","BI_162.81"
"281","ICD9CM","BI_164"
"283","ICD9CM","BI_164"
"283.0","ICD9CM","BI_164"
"283.1","ICD9CM","BI_164"
"283.10","ICD9CM","BI_164"
"283.19","ICD9CM","BI_164"
"283.9","ICD9CM","BI_164"
"284","ICD9CM","BI_164"
"284.0","ICD9CM","BI_164"
"284.09","ICD9CM","BI_164"
"284.8","ICD9CM","BI_164"
"284.81","ICD9CM","BI_164"
