"code","phecode_unrolled"
"BI_160","BI_160"
"BI_160.1","BI_160"
"BI_160.1","BI_160.1"
"BI_160.11","BI_160"
"BI_160.11","BI_160.1"
"BI_160.11","BI_160.11"
"BI_160.2","BI_160"
"BI_160.2","BI_160.2"
"BI_160.21","BI_160"
"BI_160.21","BI_160.2"
"BI_160.21","BI_160.21"
"BI_160.22","BI_160"
"BI_160.22","BI_160.2"
"BI_160.22","BI_160.22"
"BI_160.3","BI_160"
"BI_160.3","BI_160.3"
"BI_161","BI_161"
"BI_161.2","BI_161"
"BI_161.2","BI_161.2"
"BI_161.21","BI_161"
"BI_161.21","BI_161.2"
"BI_161.21","BI_161.21"
"BI_161.22","BI_161"
"BI_161.22","BI_161.2"
"BI_161.22","BI_161.22"
"BI_161.23","BI_161"
"BI_161.23","BI_161.2"
"BI_161.23","BI_161.23"
"BI_162","BI_162"
"BI_162.1","BI_162"
"BI_162.1","BI_162.1"
"BI_162.2","BI_162"
"BI_162.2","BI_162.2"
"BI_162.3","BI_162"
"BI_162.3","BI_162.3"
"BI_162.4","BI_162"
"BI_162.4","BI_162.4"
"BI_162.8","BI_162"
"BI_162.8","BI_162.8"
"BI_162.81","BI_162"
"BI_162.81","BI_162.8"
"BI_162.81","BI_162.81"
"BI_164","BI_164"
"BI_164.1","BI_164"
"BI_164.1","BI_164.1"
"BI_164.2","BI_164"
"BI_164.2","BI_164.2"
"BI_164.3","BI_164"
"BI_164.3","BI_164.3"
"BI_164.6","BI_164"
"BI_164.6","BI_164.6"
"BI_164.7","BI_164"
"BI_164.7","BI_164.7"
"BI_164.8","BI_164"
"BI_164.8","BI_164.8"
"BI_168","BI_168"
"BI_168.1","BI_168"
"BI_168.1","BI_168.1"
"BI_168.12","BI_168"
"BI_168.12","BI_168.1"
"BI_168.12","BI_168.12"
"BI_168.15","BI_168"
"BI_168.15","BI_168.1"
"BI_168.15","BI_168.15"
"BI_168.18","BI_168"
"BI_168.18","BI_168.1"
"BI_168.18","BI_168.18"
"BI_168.2","BI_168"
"BI_168.2","BI_168.2"
"BI_168.21","BI_168"
"BI_168.21","BI_168.2"
"BI_168.21","BI_168.21"
"BI_168.211","BI_168"
"BI_168.211","BI_168.2"
"BI_168.211","BI_168.21"
"BI_168.211","BI_168.211"
"BI_168.213","BI_168"
"BI_168.213","BI_168.2"
"BI_168.213","BI_168.21"
"BI_168.213","BI_168.213"
"BI_168.214","BI_168"
"BI_168.214","BI_168.2"
"BI_168.214","BI_168.21"
"BI_168.214","BI_168.214"
"BI_168.22","BI_168"
"BI_168.22","BI_168.2"
"BI_168.22","BI_168.22"
"BI_168.3","BI_168"
"BI_168.3","BI_168.3"
"BI_168.4","BI_168"
"BI_168.4","BI_168.4"
"BI_169","BI_169"
"BI_169.1","BI_169"
"BI_169.1","BI_169.1"
"BI_169.11","BI_169"
"BI_169.11","BI_169.1"
"BI_169.11","BI_169.11"
"BI_169.12","BI_169"
"BI_169.12","BI_169.1"
"BI_169.12","BI_169.12"
"BI_169.13","BI_169"
"BI_169.13","BI_169.1"
"BI_169.13","BI_169.13"
"BI_169.14","BI_169"
"BI_169.14","BI_169.1"
"BI_169.14","BI_169.14"
"BI_169.15","BI_169"
"BI_169.15","BI_169.1"
"BI_169.15","BI_169.15"
"BI_169.2","BI_169"
"BI_169.2","BI_169.2"
"BI_170","BI_170"
"BI_170.1","BI_170"
"BI_170.1","BI_170.1"
"BI_170.12","BI_170"
"BI_170.12","BI_170.1"
"BI_170.12","BI_170.12"
"BI_170.13","BI_170"
"BI_170.13","BI_170.1"
"BI_170.13","BI_170.13"
"BI_170.14","BI_170"
"BI_170.14","BI_170.1"
"BI_170.14","BI_170.14"
"BI_170.2","BI_170"
"BI_170.2","BI_170.2"
"BI_171","BI_171"
"BI_171.1","BI_171"
"BI_171.1","BI_171.1"
"BI_171.2","BI_171"
"BI_171.2","BI_171.2"
"BI_171.3","BI_171"
"BI_171.3","BI_171.3"
"BI_171.4","BI_171"
"BI_171.4","BI_171.4"
"BI_171.5","BI_171"
"BI_171.5","BI_171.5"
"BI_171.6","BI_171"
"BI_171.6","BI_171.6"
"BI_171.7","BI_171"
"BI_171.7","BI_171.7"
"BI_171.71","BI_171"
"BI_171.71","BI_171.7"
"BI_171.71","BI_171.71"
"BI_171.711","BI_171"
"BI_171.711","BI_171.7"
"BI_171.711","BI_171.71"
"BI_171.711","BI_171.711"
"BI_172","BI_172"
"BI_172.1","BI_172"
"BI_172.1","BI_172.1"
"BI_172.3","BI_172"
"BI_172.3","BI_172.3"
"BI_174","BI_174"
"BI_174.1","BI_174"
"BI_174.1","BI_174.1"
"BI_174.2","BI_174"
"BI_174.2","BI_174.2"
"BI_174.21","BI_174"
"BI_174.21","BI_174.2"
"BI_174.21","BI_174.21"
"BI_174.22","BI_174"
"BI_174.22","BI_174.2"
"BI_174.22","BI_174.22"
"BI_174.23","BI_174"
"BI_174.23","BI_174.2"
"BI_174.23","BI_174.23"
"BI_174.5","BI_174"
"BI_174.5","BI_174.5"
"BI_174.6","BI_174"
"BI_174.6","BI_174.6"
"BI_174.7","BI_174"
"BI_174.7","BI_174.7"
"BI_175","BI_175"
"BI_175.2","BI_175"
"BI_175.2","BI_175.2"
"BI_176","BI_176"
"BI_176.1","BI_176"
"BI_176.1","BI_176.1"
"BI_177","BI_177"
"BI_177.1","BI_177"
"BI_177.1","BI_177.1"
"BI_177.11","BI_177"
"BI_177.11","BI_177.1"
"BI_177.11","BI_177.11"
"BI_177.12","BI_177"
"BI_177.12","BI_177.1"
"BI_177.12","BI_177.12"
"BI_177.13","BI_177"
"BI_177.13","BI_177.1"
"BI_177.13","BI_177.13"
"BI_177.2","BI_177"
"BI_177.2","BI_177.2"
"BI_177.3","BI_177"
"BI_177.3","BI_177.3"
"BI_177.4","BI_177"
"BI_177.4","BI_177.4"
"BI_177.41","BI_177"
"BI_177.41","BI_177.4"
"BI_177.41","BI_177.41"
"BI_179","BI_179"
