"phenotype","description","icd10_only","groupnum","group","color"
"ID_001","Salmonella",0,1,"Infections","#FF0000"
"ID_002","Staphylococcus",0,1,"Infections","#FF0000"
"ID_002.1","Staphylococcus aureus",0,1,"Infections","#FF0000"
"ID_003","Escherichia coli",0,1,"Infections","#FF0000"
"ID_004","Streptococcus",0,1,"Infections","#FF0000"
"ID_004.1","Streptococcus pneumoniae",0,1,"Infections","#FF0000"
"ID_004.2","Group A Streptococcus",0,1,"Infections","#FF0000"
"ID_004.3","Group B Streptococcus",0,1,"Infections","#FF0000"
"ID_004.4","Scarlet fever",0,1,"Infections","#FF0000"
"ID_005","Mycobacteria",0,1,"Infections","#FF0000"
"ID_005.1","Mycobacterium tuberculosis",0,1,"Infections","#FF0000"
"ID_005.2","Disseminated mycobacterium avium-intracellulare complex (DMAC)*",1,1,"Infections","#FF0000"
"ID_005.3","Mycobacterium leprae [Leprosy]",0,1,"Infections","#FF0000"
"ID_006","Neisseria",0,1,"Infections","#FF0000"
"ID_006.1","Neisseria meningitidis",0,1,"Infections","#FF0000"
"ID_006.2","Neisseria gonorrhea",0,1,"Infections","#FF0000"
"ID_007","Hemophilus infection",0,1,"Infections","#FF0000"
"ID_007.1","Hemophilus influenzae",0,1,"Infections","#FF0000"
"ID_007.2","Haemophilus ducreyi",0,1,"Infections","#FF0000"
"ID_008","Helicobacter [H. pylori]",0,1,"Infections","#FF0000"
"ID_009","Pseudomonas",0,1,"Infections","#FF0000"
"ID_010","Corynebacterium",0,1,"Infections","#FF0000"
"ID_010.1","Corynebacterium diphtheriae",0,1,"Infections","#FF0000"
"ID_011","Klebsiella",0,1,"Infections","#FF0000"
"ID_012","Proteus",0,1,"Infections","#FF0000"
"ID_013","Mycoplasma",0,1,"Infections","#FF0000"
"ID_014","Bacteroides fragilis",0,1,"Infections","#FF0000"
"ID_015","Clostridium",0,1,"Infections","#FF0000"
"ID_015.1","Clostridium perfringens",0,1,"Infections","#FF0000"
"ID_015.2","Clostridium difficile",0,1,"Infections","#FF0000"
"ID_015.3","Clostridium botulinum",0,1,"Infections","#FF0000"
"ID_016","Chlamydia",0,1,"Infections","#FF0000"
"ID_016.1","Chlamydia trachomatis",0,1,"Infections","#FF0000"
"ID_016.2","Chlamydia psittaci",0,1,"Infections","#FF0000"
"ID_017","Bartonellosis",0,1,"Infections","#FF0000"
"ID_018","Serratia",0,1,"Infections","#FF0000"
"ID_019","Treponema",0,1,"Infections","#FF0000"
"ID_019.1","Treponema pallidum [syphilis]",0,1,"Infections","#FF0000"
"ID_019.2","Treponema carateum",0,1,"Infections","#FF0000"
"ID_020","Borrelia",0,1,"Infections","#FF0000"
"ID_020.1","Lyme disease",0,1,"Infections","#FF0000"
"ID_021","Rickettsia",0,1,"Infections","#FF0000"
"ID_021.2","Spotted fever",0,1,"Infections","#FF0000"
"ID_022","Ehrlichiosis",0,1,"Infections","#FF0000"
