"phecode","ICD","vocabulary_id"
"ID_023","A00","ICD10"
"ID_089","A00","ICD10"
"ID_089.1","A00","ICD10"
"GI_526","A00","ICD10"
"GI_526.1","A00","ICD10"
"ID_023","A00.0","ICD10"
"ID_089","A00.0","ICD10"
"ID_089.1","A00.0","ICD10"
"GI_526","A00.0","ICD10"
"GI_526.1","A00.0","ICD10"
"ID_023","A00.1","ICD10"
"ID_089","A00.1","ICD10"
"ID_089.1","A00.1","ICD10"
"GI_526","A00.1","ICD10"
"GI_526.1","A00.1","ICD10"
"ID_023","A00.9","ICD10"
"ID_089","A00.9","ICD10"
"ID_089.1","A00.9","ICD10"
"GI_526","A00.9","ICD10"
"GI_526.1","A00.9","ICD10"
"ID_001","A01","ICD10"
"ID_089","A01","ICD10"
"ID_089.1","A01","ICD10"
"GI_526","A01","ICD10"
"ID_001","A01.0","ICD10"
"ID_089","A01.0","ICD10"
"ID_089.1","A01.0","ICD10"
"ID_001","A01.1","ICD10"
"ID_089","A01.1","ICD10"
"ID_089.1","A01.1","ICD10"
"GI_526","A01.1","ICD10"
"ID_001","A01.2","ICD10"
"ID_089","A01.2","ICD10"
"ID_089.1","A01.2","ICD10"
"GI_526","A01.2","ICD10"
"ID_001","A01.3","ICD10"
"ID_089","A01.3","ICD10"
"ID_089.1","A01.3","ICD10"
"GI_526","A01.3","ICD10"
"ID_001","A01.4","ICD10"
"ID_089","A01.4","ICD10"
"ID_089.1","A01.4","ICD10"
"GI_526","A01.4","ICD10"
"ID_001","A02","ICD10"
"ID_089","A02","ICD10"
"ID_089.1","A02","ICD10"
"GI_526","A02","ICD10"
"GI_526.1","A02","ICD10"
"ID_001","A02.0","ICD10"
"ID_089","A02.0","ICD10"
"ID_089.1","A02.0","ICD10"
"GI_526","A02.0","ICD10"
"GI_526.1","A02.0","ICD10"
"ID_001","A02.1","ICD10"
"ID_089","A02.1","ICD10"
"ID_089.1","A02.1","ICD10"
"ID_092","A02.1","ICD10"
"ID_092.2","A02.1","ICD10"
"ID_001","A02.2","ICD10"
"ID_089","A02.2","ICD10"
"ID_089.1","A02.2","ICD10"
"ID_001","A02.8","ICD10"
"ID_089","A02.8","ICD10"
"ID_089.1","A02.8","ICD10"
"ID_001","A02.9","ICD10"
"ID_089","A02.9","ICD10"
