"phecode","phecode_string","category_num","category","sex","icd10_only","leaf","phecode_num"
"ID_001","Salmonella","01","Infections","Both",0,1,"001"
"ID_002","Staphylococcus","01","Infections","Both",0,0,"002"
"ID_002.1","Staphylococcus aureus","01","Infections","Both",0,1,"002.1"
"ID_003","Escherichia coli","01","Infections","Both",0,1,"003"
"ID_004","Streptococcus","01","Infections","Both",0,0,"004"
"ID_004.1","Streptococcus pneumoniae","01","Infections","Both",0,1,"004.1"
"ID_004.2","Group A Streptococcus","01","Infections","Both",0,1,"004.2"
"ID_004.3","Group B Streptococcus","01","Infections","Both",0,1,"004.3"
"ID_004.4","Scarlet fever","01","Infections","Both",0,1,"004.4"
"ID_005","Mycobacteria","01","Infections","Both",0,0,"005"
"ID_005.1","Mycobacterium tuberculosis","01","Infections","Both",0,1,"005.1"
"ID_005.2","Disseminated mycobacterium avium-intracellulare complex (DMAC)*","01","Infections","Both",1,1,"005.2"
"ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections","Both",0,1,"005.3"
"ID_006","Neisseria","01","Infections","Both",0,0,"006"
"ID_006.1","Neisseria meningitidis","01","Infections","Both",0,1,"006.1"
"ID_006.2","Neisseria gonorrhea","01","Infections","Both",0,1,"006.2"
"ID_007","Hemophilus infection","01","Infections","Both",0,0,"007"
"ID_007.1","Hemophilus influenzae","01","Infections","Both",0,1,"007.1"
"ID_007.2","Haemophilus ducreyi","01","Infections","Both",0,1,"007.2"
"ID_008","Helicobacter [H. pylori]","01","Infections","Both",0,1,"008"
"ID_009","Pseudomonas","01","Infections","Both",0,1,"009"
"ID_010","Corynebacterium","01","Infections","Both",0,0,"010"
"ID_010.1","Corynebacterium diphtheriae","01","Infections","Both",0,1,"010.1"
"ID_011","Klebsiella","01","Infections","Both",0,1,"011"
"ID_012","Proteus","01","Infections","Both",0,1,"012"
"ID_013","Mycoplasma","01","Infections","Both",0,1,"013"
"ID_014","Bacteroides fragilis","01","Infections","Both",0,1,"014"
"ID_015","Clostridium","01","Infections","Both",0,0,"015"
"ID_015.1","Clostridium perfringens","01","Infections","Both",0,1,"015.1"
"ID_015.2","Clostridium difficile","01","Infections","Both",0,1,"015.2"
"ID_015.3","Clostridium botulinum","01","Infections","Both",0,1,"015.3"
"ID_016","Chlamydia","01","Infections","Both",0,0,"016"
"ID_016.1","Chlamydia trachomatis","01","Infections","Both",0,1,"016.1"
"ID_016.2","Chlamydia psittaci","01","Infections","Both",0,1,"016.2"
"ID_017","Bartonellosis","01","Infections","Both",0,1,"017"
"ID_018","Serratia","01","Infections","Both",0,1,"018"
"ID_019","Treponema","01","Infections","Both",0,0,"019"
"ID_019.1","Treponema pallidum","01","Infections","Both",0,1,"019.1"
"ID_019.2","Treponema carateum","01","Infections","Both",0,1,"019.2"
"ID_020","Borrelia","01","Infections","Both",0,0,"020"
