"phecode","male_only","female_only"
"BI_160",FALSE,FALSE
"BI_160.1",FALSE,FALSE
"BI_160.11",FALSE,FALSE
"BI_160.2",FALSE,FALSE
"BI_160.21",FALSE,FALSE
"BI_160.22",FALSE,FALSE
"BI_160.3",FALSE,FALSE
"BI_161",FALSE,FALSE
"BI_161.2",FALSE,FALSE
"BI_161.21",FALSE,FALSE
"BI_161.22",FALSE,FALSE
"BI_161.23",FALSE,FALSE
"BI_162",FALSE,FALSE
"BI_162.1",FALSE,FALSE
"BI_162.2",FALSE,FALSE
"BI_162.3",FALSE,FALSE
"BI_162.4",FALSE,FALSE
"BI_162.8",FALSE,FALSE
"BI_162.81",FALSE,FALSE
"BI_164",FALSE,FALSE
"BI_164.1",FALSE,FALSE
"BI_164.2",FALSE,FALSE
"BI_164.3",FALSE,FALSE
"BI_164.6",FALSE,FALSE
"BI_164.7",FALSE,FALSE
"BI_164.8",FALSE,FALSE
"BI_168",FALSE,FALSE
"BI_168.1",FALSE,FALSE
"BI_168.12",FALSE,FALSE
"BI_168.15",FALSE,FALSE
"BI_168.18",FALSE,FALSE
"BI_168.2",FALSE,FALSE
"BI_168.21",FALSE,FALSE
"BI_168.211",FALSE,FALSE
"BI_168.213",FALSE,FALSE
"BI_168.214",FALSE,FALSE
"BI_168.22",FALSE,FALSE
"BI_168.3",FALSE,FALSE
"BI_168.4",FALSE,FALSE
"BI_169",FALSE,FALSE
"BI_169.1",FALSE,FALSE
"BI_169.11",FALSE,FALSE
"BI_169.12",FALSE,FALSE
"BI_169.13",FALSE,FALSE
"BI_169.14",FALSE,FALSE
"BI_169.15",FALSE,FALSE
"BI_169.2",FALSE,FALSE
"BI_170",FALSE,FALSE
"BI_170.1",FALSE,FALSE
"BI_170.12",FALSE,FALSE
"BI_170.13",FALSE,FALSE
"BI_170.14",FALSE,FALSE
"BI_170.2",FALSE,FALSE
"BI_171",FALSE,FALSE
"BI_171.1",FALSE,FALSE
"BI_171.2",FALSE,FALSE
"BI_171.3",FALSE,FALSE
"BI_171.4",FALSE,FALSE
"BI_171.5",FALSE,FALSE
"BI_171.6",FALSE,FALSE
"BI_171.7",FALSE,FALSE
"BI_171.71",FALSE,FALSE
"BI_171.711",FALSE,FALSE
"BI_172",FALSE,FALSE
"BI_172.1",FALSE,FALSE
"BI_172.3",FALSE,FALSE
"BI_174",FALSE,FALSE
"BI_174.1",FALSE,FALSE
"BI_174.2",FALSE,FALSE
"BI_174.21",FALSE,FALSE
"BI_174.22",FALSE,FALSE
"BI_174.23",FALSE,FALSE
"BI_174.5",FALSE,FALSE
"BI_174.6",FALSE,FALSE
"BI_174.7",FALSE,FALSE
"BI_175",FALSE,FALSE
"BI_175.2",FALSE,FALSE
"BI_176",FALSE,FALSE
"BI_176.1",FALSE,FALSE
"BI_177",FALSE,FALSE
"BI_177.1",FALSE,FALSE
"BI_177.11",FALSE,FALSE
"BI_177.12",FALSE,FALSE
"BI_177.13",FALSE,FALSE
"BI_177.2",FALSE,FALSE
"BI_177.3",FALSE,FALSE
"BI_177.4",FALSE,FALSE
"BI_177.41",FALSE,FALSE
